,city,district,listed_date,listed_price,transaction_price,transaction_cycle,adjust_price,house_inspection,concerned_number,browse_number,house_type,covered_area,orientation,elevator,transaction_info,cell_name,floors,url
183,浦东,花木,2012-01-07,700,690,1100,1,0,0,暂无数据,3室2厅1厨2卫,139.65㎡,南,有,"单价49410元/平,2015-01-11成交",,中楼层(共12层),https://sh.lianjia.com/chengjiao/107010010222.html
184,浦东,花木,2012-01-07,680,670,1123,1,0,0,暂无数据,3室2厅1厨2卫,147.89㎡,南,有,"单价45304元/平,2015-02-03成交",,中楼层(共25层),https://sh.lianjia.com/chengjiao/107010009833.html
185,浦东,花木,2012-01-07,720,678,1117,1,0,0,暂无数据,3室2厅1厨2卫,149.3㎡,南,有,"单价45412元/平,2015-01-28成交",,中楼层(共13层),https://sh.lianjia.com/chengjiao/107010009792.html
186,浦东,花木,2012-01-07,710,700,1169,0,0,0,暂无数据,3室2厅1厨2卫,148.55㎡,南,有,"单价47123元/平,2015-03-21成交",,中楼层(共18层),https://sh.lianjia.com/chengjiao/107010010936.html
187,浦东,花木,2012-01-07,828,805,1265,1,0,0,暂无数据,3室2厅1厨2卫,138.01㎡,南,有,"单价58330元/平,2015-06-25成交",,中楼层(共11层),https://sh.lianjia.com/chengjiao/107010015589.html
188,浦东,花木,2012-01-07,730,710,1276,1,0,0,暂无数据,3室2厅1厨2卫,133.46㎡,南,有,"单价53200元/平,2015-07-06成交",,中楼层(共11层),https://sh.lianjia.com/chengjiao/107010016266.html
189,浦东,花木,2012-01-07,650,650,1270,0,0,0,暂无数据,3室2厅1厨2卫,143.54㎡,南,有,"单价45284元/平,2015-06-30成交",,低楼层(共17层),https://sh.lianjia.com/chengjiao/107010010998.html
190,浦东,花木,2013-09-29,600,599.8,681,1,0,0,暂无数据,3室2厅1厨2卫,140.87㎡,南,有,"单价42579元/平,2015-08-11成交",,中楼层(共14层),https://sh.lianjia.com/chengjiao/107010022031.html
191,浦东,花木,2013-09-30,1000,600,686,0,0,0,暂无数据,3室2厅1厨2卫,146.07㎡,南,有,"单价41077元/平,2015-08-17成交",,高楼层(共12层),https://sh.lianjia.com/chengjiao/107010023093.html
192,浦东,花木,2012-01-07,750,750,1312,1,0,0,暂无数据,3室2厅1厨2卫,147.38㎡,南,有,"单价50889元/平,2015-08-11成交",,低楼层(共24层),https://sh.lianjia.com/chengjiao/107010019793.html
193,浦东,花木,2012-01-07,850,865,1316,0,0,0,暂无数据,3室2厅1厨2卫,143.54㎡,南,有,"单价60262元/平,2015-08-15成交",,中楼层(共17层),https://sh.lianjia.com/chengjiao/107010021975.html
194,浦东,花木,2012-01-07,暂无数据,753,1324,0,0,0,暂无数据,3室2厅1厨2卫,141.77㎡,南,有,"单价53115元/平,2015-08-23成交",,低楼层(共18层),https://sh.lianjia.com/chengjiao/107010022668.html
195,浦东,花木,2013-09-30,暂无数据,550,709,1,0,0,暂无数据,3室2厅1厨2卫,147.54㎡,南,有,"单价37279元/平,2015-09-09成交",,中楼层(共12层),https://sh.lianjia.com/chengjiao/107010024963.html
